pilot_item_id,sentence_marked,sentence,head_form,head_children,participial_form,licensing_marker,constructional_environment,local_subject_present,by_pp_present,stranded_preposition,event_implied,agent_implied,predicand_as_undergoer,peripheral_subtype,family_status,notes,pilot_order
FG017,""" Calculation of Floating Amount : The Floating Amount payable by [ ENA ] on a Payment Date will be [[calculated]] for that Payment Date as follows :","""Calculation of Floating Amount: The Floating Amount payable by [ENA] on a Payment Date will be calculated for that Payment Date as follows:",calculated,6:punct::;9:nsubj:pass:Amount;19:aux:will;20:aux:pass:be;25:obl:Date;27:advcl:follows,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,1
FG082,"There 's a lot of unfunny jokes that are [[told]] in a back room , that 's why they stay and die in that back room and do n’t go out in The Onion .","There's a lot of unfunny jokes that are told in a back room, that's why they stay and die in that back room and don’t go out in The Onion.",told,"8:nsubj:pass:that;9:aux:pass:are;14:obl:room;15:punct:,;30:conj:go",past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,2
FG049,"The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had [[pushed]] many Sunni Arabs into the arms of the guerrillas .","The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard, and had pushed many Sunni Arabs into the arms of the guerrillas.",pushed,"17:punct:,;18:cc:and;19:aux:had;23:obj:Arabs;26:obl:arms",past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,3
FG034,My advise to all is I have [[fallen]] into this trap ... pl ensure you do nt !!!,My advise to all is I have fallen into this trap ... pl ensure you dont!!!,fallen,2:nsubj:outer:advise;5:cop:is;6:nsubj:I;7:aux:have;11:obl:trap;14:parataxis:ensure;18:punct:!!!,past_participle,be,clausal_predication,yes,no,no,yes,no,yes,none,foil,,4
FG039,"Under the accord , a new northeastern provincial council was formed and the Indian army was [[deployed]] as peacekeepers in the north and east .","Under the accord, a new northeastern provincial council was formed and the Indian army was deployed as peacekeepers in the north and east.",deployed,12:cc:and;15:nsubj:pass:army;16:aux:pass:was;19:obl:peacekeepers;22:obl:north,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,5
FG057,"The point was , I could have [[mentioned]] what was in the paper about him , that he was related and , you know , had business with Steitler , and I just said , and there 's Doctor Duvall , you know ?","The point was, I could have mentioned what was in the paper about him, that he was related and, you know, had business with Steitler, and I just said, and there's Doctor Duvall, you know?",mentioned,2:nsubj:outer:point;3:cop:was;5:nsubj:I;6:aux:could;7:aux:have;9:obj:what;34:conj:said;44:punct:?,past_participle,be,clausal_predication,yes,no,no,yes,no,no,none,foil,,6
FG084,"Instead of being taken to a hotel , where he could route out as promised , he was [[taken]] to the Century City Towers .","Instead of being taken to a hotel, where he could route out as promised, he was taken to the Century City Towers.",taken,4:advcl:taken;17:nsubj:pass:he;18:aux:pass:was;24:obl:Towers;25:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,7
FG070,"Their son , Thomas Colton Padalecki , was [[born]] on March 19 , 2012 .","Their son, Thomas Colton Padalecki, was born on March 19, 2012.",born,2:nsubj:pass:son;8:aux:pass:was;12:obl:19;15:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,unclear,yes,none,core,,8
FG060,"Often overshadowed by San Francisco , its larger neighbor lying directly to the west , Oakland has in recent years [[began]] to step out from under the shadows , playing upon the beautiful highlights of its own and its rise as the multicultural "" hipster ' city of the Bay Area .","Often overshadowed by San Francisco, its larger neighbor lying directly to the west, Oakland has in recent years began to step out from under the shadows, playing upon the beautiful highlights of its own and its rise as the multicultural ""hipster' city of the Bay Area.",began,2:advcl:overshadowed;16:nsubj:Oakland;17:aux:has;20:obl:years;23:xcomp:step;30:advcl:playing;52:punct:.,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,9
FG079,"“ On the other hand , ” I said , “ he ’s the first super we ’ve [[had]] who keeps the boiler , the door buzzers , and the electrical system in perfect working order . ”","“On the other hand,” I said, “he’s the first super we’ve had who keeps the boiler, the door buzzers, and the electrical system in perfect working order.”",had,17:nsubj:we;18:aux:’ve,past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,10
FG029,They have [[towed]] car for me a few times and I am always very satisfied with this services .,They have towed car for me a few times and I am always very satisfied with this services.,towed,1:nsubj:They;2:aux:have;4:obj:car;6:obl:me;9:obl:unmarked:times;15:conj:satisfied;19:punct:.,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,11
FG012,The chiro / acupuncturist will be there to evaluate the horse for wobblers which is often [[caused]] by spinal compression and can be confused with EPM .,The chiro/acupuncturist will be there to evaluate the horse for wobblers which is often caused by spinal compression and can be confused with EPM.,caused,14:nsubj:pass:which;15:aux:pass:is;16:advmod:often;20:obl:agent:compression;24:conj:confused,past_participle,be,clausal_predication,yes,yes,no,yes,yes,yes,none,core,,12
FG096,Everything has like [[rubbed]] off of it .,Everything has like rubbed off of it.,rubbed,1:nsubj:Everything;2:aux:has;3:discourse:like;7:obl:it;8:punct:.,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,13
FG037,If the animals are treated in the same way the customers are [[treated]] then this leaves a lot to be desired !,If the animals are treated in the same way the customers are treated then this leaves a lot to be desired!,treated,11:nsubj:pass:customers;12:aux:pass:are,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,14
FG022,"The US Army Corps of Engineers says it could take a month to clear the flood waters , and the government 's disaster relief agency has [[urged]] evacuees not to try to get back to their homes .","The US Army Corps of Engineers says it could take a month to clear the flood waters, and the government's disaster relief agency has urged evacuees not to try to get back to their homes.",urged,"18:punct:,;19:cc:and;25:nsubj:agency;26:aux:has;28:iobj:evacuees;31:xcomp:try",past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,15
