candidate_id,corpus,split,source_file,sent_id,head_id,head_form,head_lemma,upos,xpos,head_deprel,feats,has_voice_pass,has_nsubj_pass,has_obl_agent,aux_pass_lemmas,aux_lemmas,cop_lemmas,participle_like,parent_id,parent_form,parent_deprel,head_children,provisional_streams,sentence,sentence_marked,sampling_stream,sample_set,sample_rank
ewt|train|email-enronsent10_01-0023|16,ewt,train,en_ewt-ud-train.conllu,email-enronsent10_01-0023,16,nailed,nail,VERB,VBN,xcomp,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,_,_,_,1,14,get,conj,17:advmod:down,passive_ledger;peripheral_manual_probe,I assume from your message you are OK with this and they can get it nailed down?,I assume from your message you are OK with this and they can get it [[nailed]] down ?,peripheral_manual_probe,analytic_peripheral_candidate,38
gum|test|GUM_voyage_oakland-3|21,gum,test,en_gum-ud-test.conllu,GUM_voyage_oakland-3,21,began,begin,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,2:advcl:overshadowed;16:nsubj:Oakland;17:aux:has;20:obl:years;23:xcomp:step;30:advcl:playing;52:punct:.,foil_perfect,"Often overshadowed by San Francisco, its larger neighbor lying directly to the west, Oakland has in recent years began to step out from under the shadows, playing upon the beautiful highlights of its own and its rise as the multicultural ""hipster' city of the Bay Area.","Often overshadowed by San Francisco , its larger neighbor lying directly to the west , Oakland has in recent years [[began]] to step out from under the shadows , playing upon the beautiful highlights of its own and its rise as the multicultural "" hipster ' city of the Bay Area .",foil_perfect,analytic_foil_candidate,19
gum|train|GUM_bio_padalecki-36|9,gum,train,en_gum-ud-train.conllu,GUM_bio_padalecki-36,9,born,bear,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,2:nsubj:pass:son;8:aux:pass:was;12:obl:19;15:punct:.,core_be;passive_ledger,"Their son, Thomas Colton Padalecki, was born on March 19, 2012.","Their son , Thomas Colton Padalecki , was [[born]] on March 19 , 2012 .",core_be,analytic_core_candidate,57
ewt|train|email-enronsent20_01-0043|19,ewt,train,en_ewt-ud-train.conllu,email-enronsent20_01-0043,19,delivered,deliver,VERB,VBN,conj,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,will,_,1,5,delivered,root,"14:punct:,;15:cc:nor;16:aux:will;17:nsubj:pass:they;18:aux:pass:be;24:obl:hours",core_be;passive_ledger,"Messages will not be delivered simultaneously to all users in the same domain, nor will they be delivered for two to five hours after they are sent by the message administrator.","Messages will not be delivered simultaneously to all users in the same domain , nor will they be [[delivered]] for two to five hours after they are sent by the message administrator .",core_be,heldout,24
gum|train|GUM_news_defector-20|49,gum,train,en_gum-ud-train.conllu,GUM_news_defector-20,49,put,put,VERB,VBN,acl,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,would,_,1,23,case,obj,45:mark:that;46:nsubj:pass:Daniel;47:aux:would;48:aux:pass:be;52:obl:bars;57:obl:time;64:advcl:returned,core_be;passive_ledger;peripheral_reduced_embedded,"Rathbun wrote, ""Moxon proceeded to lie to Daniel that the hard drives were never returned, and made a convincing case (not difficult to do with a 19 year old who does not even know the three branches of government) that Daniel would be put behind iron bars for a good long time, UNLESS of course, he returned and cooperated with Moxon and routed out properly.""","Rathbun wrote , "" Moxon proceeded to lie to Daniel that the hard drives were never returned , and made a convincing case ( not difficult to do with a 19 year old who does not even know the three branches of government ) that Daniel would be [[put]] behind iron bars for a good long time , UNLESS of course , he returned and cooperated with Moxon and routed out properly . """,core_be,analytic_core_candidate,10
gum|train|GUM_academic_huh-3|37,gum,train,en_gum-ud-train.conllu,GUM_academic_huh-3,37,denoted,denote,VERB,VBN,parataxis,Tense=Past|VerbForm=Part|Voice=Pass,1,1,1,be,_,_,1,12,connected,root,28:punct:;;32:nsubj:pass:concept;33:aux:pass:is;36:advmod:well;39:obl:French;41:obl:agent:chien;44:conj:German;50:conj:Japanese,core_be;passive_ledger,"Thus, the sound of the word dog in English is connected to the concept ‘dog’ by historical accident and not by any natural connection; roughly the same concept is just as well denoted in French by chien, in German by hund, and in Japanese by inu.","Thus , the sound of the word dog in English is connected to the concept ‘ dog ’ by historical accident and not by any natural connection ; roughly the same concept is just as well [[denoted]] in French by chien , in German by hund , and in Japanese by inu .",core_be,analytic_core_candidate,13
ewt|dev|answers-20111108110008AA7xHnL_ans-0007|15,ewt,dev,en_ewt-ud-dev.conllu,answers-20111108110008AA7xHnL_ans-0007,15,locked,lock,VERB,VBN,xcomp,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,_,_,_,1,12,keep,conj,16:compound:prt:up,passive_ledger;peripheral_manual_probe,go to LA after say 11:00 search the street corners btw keep ur wallet locked up and have $200 on hand have a gun just in case btw,go to LA after say 11:00 search the street corners btw keep ur wallet [[locked]] up and have $ 200 on hand have a gun just in case btw,peripheral_manual_probe,analytic_peripheral_candidate,25
gum|train|GUM_news_hackers-22|18,gum,train,en_gum-ud-train.conllu,GUM_news_hackers-22,18,increased,increase,VERB,VBN,amod,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,_,_,_,1,19,attention,obl,_,passive_ledger;peripheral_reduced_embedded,"Traffic to the Scientology website had already increased 18-fold prior to the attack, following increased attention after the Tom Cruise video appeared on the Internet.","Traffic to the Scientology website had already increased 18 - fold prior to the attack , following [[increased]] attention after the Tom Cruise video appeared on the Internet .",peripheral_reduced_embedded,heldout,2
ewt|train|email-enronsent39_01-0055|5,ewt,train,en_ewt-ud-train.conllu,email-enronsent39_01-0055,5,ignored,ignore,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,3:nsubj:pass:standing;4:aux:pass:is;6:punct:.,core_be;passive_ledger,Grand-standing is ignored.,Grand - standing is [[ignored]] .,core_be,analytic_core_candidate,29
gum|train|GUM_academic_thrones-14|18,gum,train,en_gum-ud-train.conllu,GUM_academic_thrones-14,18,adapted,adapt,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,1:nsubj:pass:One;17:aux:pass:was;21:obl:screen;25:obl:episode;38:dep:Benioff;44:punct:.,core_be;passive_ledger,"One of the most dramatic plot developments in the source material (Martin, 2000) was adapted to the screen in the penultimate episode of the third season, “The Rains of Castamere” (Benioff & Weiss, 2013).","One of the most dramatic plot developments in the source material ( Martin , 2000 ) was [[adapted]] to the screen in the penultimate episode of the third season , “ The Rains of Castamere ” ( Benioff & Weiss , 2013 ) .",core_be,analytic_core_candidate,27
