simulation,ewt_to_gum_strict,ewt_to_gum_stronger,gum_to_ewt_strict,gum_to_ewt_stronger,strict_pass,stronger_pass
1,0,0,0,0,FALSE,FALSE
2,0,0,0.023,0.119,FALSE,FALSE
3,0.001,0.015,0,0,FALSE,FALSE
4,0,0,0,0,FALSE,FALSE
5,0,0.053,0,0,FALSE,FALSE
6,0,0,0,0.133,FALSE,FALSE
7,0.191,0.384,0.756,0.908,FALSE,FALSE
8,0,0,0,0,FALSE,FALSE
9,1,1,0.998,0.998,TRUE,TRUE
10,0.005,0.024,0,0,FALSE,FALSE
11,0,0.096,0,0,FALSE,FALSE
12,0,0,0,0,FALSE,FALSE
13,0,0,0,0,FALSE,FALSE
14,0,0,0,0,FALSE,FALSE
15,0,0,0,0.239,FALSE,FALSE
16,0,0,0,0,FALSE,FALSE
17,0,0,0,0,FALSE,FALSE
18,0.312,0.561,0.315,0.467,FALSE,FALSE
19,0,0,0,0,FALSE,FALSE
20,0.275,0.408,0.494,0.676,FALSE,FALSE
21,0,0,0,0,FALSE,FALSE
22,0,0,0,0,FALSE,FALSE
23,0,0,0,0,FALSE,FALSE
24,0,0,0,0,FALSE,FALSE
25,0,0,0,0,FALSE,FALSE
26,0,0,0,0,FALSE,FALSE
27,0.039,0.472,0,0.189,FALSE,FALSE
28,0,0,0,0,FALSE,FALSE
29,0,0,0,0,FALSE,FALSE
30,0,0,0.435,0.661,FALSE,FALSE
31,0.498,0.765,0.644,0.774,FALSE,FALSE
32,0,0,0,0,FALSE,FALSE
33,0.709,0.758,0,0,FALSE,FALSE
34,0,0,0,0,FALSE,FALSE
35,0,0,0,0.157,FALSE,FALSE
36,0,0.042,0,0,FALSE,FALSE
37,0.072,0.175,0,0,FALSE,FALSE
38,0.758,0.841,0,0.258,FALSE,FALSE
39,0,0,0,0,FALSE,FALSE
40,0,0,0,0,FALSE,FALSE
41,0.873,0.899,0.927,0.953,FALSE,TRUE
42,0,0,0,0,FALSE,FALSE
43,0,0,0,0,FALSE,FALSE
44,0,0,0,0,FALSE,FALSE
45,0,0,0,0,FALSE,FALSE
46,0,0,0.399,0.659,FALSE,FALSE
47,0,0,0,0,FALSE,FALSE
48,0,0,0,0,FALSE,FALSE
49,0,0,0,0,FALSE,FALSE
50,0,0,0,0,FALSE,FALSE
51,0,0,0,0,FALSE,FALSE
52,0,0,0.842,0.927,FALSE,FALSE
53,0,0.059,0,0,FALSE,FALSE
54,0,0,0,0,FALSE,FALSE
55,0,0,0,0.032,FALSE,FALSE
56,0.104,0.401,0.316,0.575,FALSE,FALSE
57,0,0,0,0,FALSE,FALSE
58,0,0,0,0,FALSE,FALSE
59,0,0,0,0,FALSE,FALSE
60,0.009,0.216,0.001,0.244,FALSE,FALSE
61,0,0,0,0,FALSE,FALSE
62,0,0,0,0,FALSE,FALSE
63,0,0.115,0.054,0.482,FALSE,FALSE
64,0,0,0,0,FALSE,FALSE
65,0,0,0,0,FALSE,FALSE
66,0,0,0,0,FALSE,FALSE
67,0,0,0,0,FALSE,FALSE
68,0,0.072,0,0.246,FALSE,FALSE
69,0,0,0,0,FALSE,FALSE
70,0.002,0.021,0,0,FALSE,FALSE
71,0,0,0,0,FALSE,FALSE
72,0,0,0,0,FALSE,FALSE
73,0,0.107,0,0,FALSE,FALSE
74,0,0,0,0.342,FALSE,FALSE
75,0,0,0,0,FALSE,FALSE
76,0,0,0,0,FALSE,FALSE
77,0,0,0,0,FALSE,FALSE
78,0,0,0,0,FALSE,FALSE
79,0,0.002,0.036,0.194,FALSE,FALSE
80,0,0,0,0,FALSE,FALSE
81,0.124,0.184,0,0,FALSE,FALSE
82,0.861,0.887,0.929,0.977,FALSE,TRUE
83,0.934,0.958,0.759,0.853,FALSE,TRUE
84,0,0,0,0,FALSE,FALSE
85,0,0,0.499,0.636,FALSE,FALSE
86,0,0,0,0,FALSE,FALSE
87,0.001,0.008,0,0,FALSE,FALSE
88,0,0.051,0,0,FALSE,FALSE
89,0,0,0,0,FALSE,FALSE
90,0,0,0,0,FALSE,FALSE
91,0,0,0,0,FALSE,FALSE
92,0,0,0,0,FALSE,FALSE
93,0,0,0,0,FALSE,FALSE
94,0,0,0,0,FALSE,FALSE
95,0,0.137,0,0.061,FALSE,FALSE
96,0.884,0.922,0,0.723,FALSE,FALSE
97,0,0,0,0,FALSE,FALSE
98,0,0,0,0,FALSE,FALSE
99,0,0,0,0,FALSE,FALSE
100,0,0,0,0,FALSE,FALSE
101,0,0,0,0,FALSE,FALSE
102,0,0,0,0,FALSE,FALSE
103,0,0,0,0,FALSE,FALSE
104,0,0,0,0,FALSE,FALSE
105,0,0.113,0,0,FALSE,FALSE
106,0,0,0,0,FALSE,FALSE
107,0.094,0.143,0,0,FALSE,FALSE
108,0,0.088,0,0,FALSE,FALSE
109,0,0,0,0,FALSE,FALSE
110,0,0,0,0,FALSE,FALSE
111,0,0,0,0,FALSE,FALSE
112,0,0,0,0,FALSE,FALSE
113,0,0,0,0,FALSE,FALSE
114,0,0,0,0,FALSE,FALSE
115,0,0,0,0,FALSE,FALSE
116,0.688,0.758,0.942,0.971,FALSE,FALSE
117,0,0,0,0,FALSE,FALSE
118,0,0,0,0.018,FALSE,FALSE
119,0,0,0,0,FALSE,FALSE
120,0,0,0,0,FALSE,FALSE
121,0,0,0,0,FALSE,FALSE
122,0,0,0,0,FALSE,FALSE
123,0,0.001,0,0,FALSE,FALSE
124,0.061,0.186,0,0.125,FALSE,FALSE
125,1,1,0.994,0.995,TRUE,TRUE
126,0,0,0,0,FALSE,FALSE
127,0,0,0,0,FALSE,FALSE
128,0,0,0,0,FALSE,FALSE
129,0.009,0.058,0,0,FALSE,FALSE
130,0,0,0,0,FALSE,FALSE
131,0,0,0.149,0.544,FALSE,FALSE
132,0.227,0.416,0.58,0.719,FALSE,FALSE
133,0,0,0,0,FALSE,FALSE
134,0,0,0,0,FALSE,FALSE
135,0,0,0,0,FALSE,FALSE
136,0,0,0,0,FALSE,FALSE
137,0,0,0,0,FALSE,FALSE
138,0,0,0,0.344,FALSE,FALSE
139,0,0,0,0,FALSE,FALSE
140,0.704,0.827,0,0.741,FALSE,FALSE
141,0,0,0,0,FALSE,FALSE
142,0,0,0,0,FALSE,FALSE
143,0,0,0,0,FALSE,FALSE
144,0,0,0,0,FALSE,FALSE
145,0.014,0.093,0.401,0.671,FALSE,FALSE
146,0,0.005,0,0,FALSE,FALSE
147,0,0,0,0,FALSE,FALSE
148,0.012,0.07,0,0,FALSE,FALSE
149,0,0,0,0,FALSE,FALSE
150,0,0,0.516,0.654,FALSE,FALSE
151,0,0.005,0,0,FALSE,FALSE
152,0,0,0,0,FALSE,FALSE
153,0.417,0.579,0.761,0.869,FALSE,FALSE
154,0,0,0,0,FALSE,FALSE
155,0,0.213,0.143,0.306,FALSE,FALSE
156,0,0,0,0,FALSE,FALSE
157,0,0,0.825,0.914,FALSE,FALSE
158,0,0,0,0,FALSE,FALSE
159,0,0,0,0,FALSE,FALSE
160,0.141,0.277,0,0,FALSE,FALSE
161,0,0,0,0,FALSE,FALSE
162,0,0,0,0,FALSE,FALSE
163,0,0,0,0,FALSE,FALSE
164,0,0,0,0,FALSE,FALSE
165,0,0,0,0,FALSE,FALSE
166,0,0,0,0,FALSE,FALSE
167,0,0.004,0.173,0.242,FALSE,FALSE
168,0,0,0,0,FALSE,FALSE
169,0,0,0,0,FALSE,FALSE
170,0.963,0.986,0.885,0.937,FALSE,TRUE
171,0,0,0,0,FALSE,FALSE
172,0,0,0,0,FALSE,FALSE
173,0.124,0.223,0,0,FALSE,FALSE
174,0,0,0,0,FALSE,FALSE
175,0.194,0.39,0,0.005,FALSE,FALSE
176,0.407,0.621,0,0,FALSE,FALSE
177,0,0,0,0,FALSE,FALSE
178,0,0,0,0,FALSE,FALSE
179,0,0,0,0.025,FALSE,FALSE
180,0,0,0,0,FALSE,FALSE
181,0,0,0,0,FALSE,FALSE
182,0,0,0,0,FALSE,FALSE
183,0,0,0,0,FALSE,FALSE
184,0,0,0,0,FALSE,FALSE
185,0,0,0.808,0.91,FALSE,FALSE
186,0,0,0,0,FALSE,FALSE
187,0,0,0,0,FALSE,FALSE
188,0,0,0,0,FALSE,FALSE
189,0,0,0,0,FALSE,FALSE
190,0,0,0,0,FALSE,FALSE
191,0,0,0,0,FALSE,FALSE
192,0.028,0.117,0,0,FALSE,FALSE
193,0,0,0,0.022,FALSE,FALSE
194,0,0.023,0.305,0.701,FALSE,FALSE
195,0,0,0,0,FALSE,FALSE
196,0.068,0.331,0.371,0.569,FALSE,FALSE
197,0,0,0,0,FALSE,FALSE
198,0,0,0,0,FALSE,FALSE
199,0,0,0,0,FALSE,FALSE
200,0.003,0.029,0,0,FALSE,FALSE
