pilot_item_id,sentence_marked,sentence,head_form,head_children,family_status,peripheral_subtype,auxiliary_type,participial_predicate,agent_realization,promotion_type,eventive_stative,syntactic_environment,subject_role_profile,notes,pilot_order
BP013,"it resembles Joseph Louis Lagrange 's Mécanique Analytique in being [[arranged]] so that all the results are consequences of a single principle , namely , conservation of energy .","it resembles Joseph Louis Lagrange's Mécanique Analytique in being arranged so that all the results are consequences of a single principle, namely, conservation of energy.",arranged,9:mark:in;10:aux:pass:being;18:advcl:consequences,peripheral,reduced_embedded,be,yes,none,none-unclear,ambiguous,nonfinite-or-reduced,unclear-other,Infinitival environment with dummy subject; passive-adjacent but reduced structure.,1
BP001,They do nt want to be [[held]] or touched .,They dont want to be held or touched.,held,5:mark:to;6:aux:pass:be;9:conj:touched,peripheral,reduced_embedded,be,yes,none,none-unclear,eventive,nonfinite-or-reduced,patient-theme-like,Infinitival passive with controlled implicit subject; genuinely passive-family but non-finite.,2
BP010,It is Tuesday and today I got [[pulled]] to ultrasound .,It is Tuesday and today I got pulled to ultrasound.,pulled,4:cc:and;5:obl:unmarked:today;6:nsubj:pass:I;7:aux:pass:got;10:obl:ultrasound,peripheral,get,get,yes,none,direct-object-promotion,eventive,finite-clause,patient-theme-like,Get-passive with finite profile but boundary auxiliary.,3
BP016,"In the core of the city , [[named]] avenues run north / south and are named after US cities , generally in repeating alphabetical order ( for example , Winston - Yale - Allegheny - Braden ) .","In the core of the city, named avenues run north / south and are named after US cities, generally in repeating alphabetical order (for example, Winston - Yale - Allegheny - Braden).",named,_,peripheral,stative_adjectival,none-other,yes,none,none-unclear,stative,nonfinite-or-reduced,unclear-other,Attributive modifier; adjectival use without overt passive structure.,4
BP011,Have a realistic but [[exaggerated]] setup .,Have a realistic but exaggerated setup.,exaggerated,4:cc:but,peripheral,stative_adjectival,none-other,yes,none,none-unclear,stative,nonfinite-or-reduced,unclear-other,Imperative with attributive participial adjective; no passive auxiliary.,5
BP008,"He blended belief systems such as Shamanism , Christianity , Buddhism , Paganism , Hermeticism and Gnosticism and imbued Coil 's vast output with a magickal current [[designed]] to have a functionally transcendent effect on listeners .","He blended belief systems such as Shamanism, Christianity, Buddhism, Paganism, Hermeticism and Gnosticism and imbued Coil's vast output with a magickal current designed to have a functionally transcendent effect on listeners.",designed,30:advcl:have,peripheral,reduced_embedded,none-other,yes,none,direct-object-promotion,eventive,nonfinite-or-reduced,patient-theme-like,Reduced relative modifier with purpose infinitive; passive-adjacent reduced structure.,6
BP006,"On one order , we needed it [[rushed]] and shipped to a different state .","On one order, we needed it rushed and shipped to a different state.",rushed,10:conj:shipped,peripheral,reduced_embedded,none-other,yes,none,direct-object-promotion,eventive,nonfinite-or-reduced,patient-theme-like,Resultative small clause after need; passive-family analysis viable in reduced environment.,7
BP014,One is the channel [[pointed]] out by Mr. Rohatgi in a restrictive sense that only construe the Special Marriage Act .,One is the channel pointed out by Mr. Rohatgi in a restrictive sense that only construe the Special Marriage Act.,pointed,6:compound:prt:out;9:obl:agent:Rohatgi;13:obl:sense,peripheral,prepositional,none-other,yes,other-overt-agentive,oblique-stranding-promotion,eventive,nonfinite-or-reduced,patient-theme-like,Reduced relative with particle stranding and overt agent; prepositional passive boundary.,8
BP004,"I will be getting with my vet first and if I do get him , have the spinal fluid test [[done]] for EPM and a titer test .","I will be getting with my vet first and if I do get him, have the spinal fluid test done for EPM and a titer test.",done,23:obl:EPM,peripheral,reduced_embedded,none-other,yes,none,direct-object-promotion,eventive,nonfinite-or-reduced,patient-theme-like,Imperative causative small clause; passive-family analysis in imperative reduced context.,9
BP007,She was dead on -- this restaurant was wonderful --- do not be [[put]] off by the one negative review on this page .,She was dead on-- this restaurant was wonderful--- do not be put off by the one negative review on this page.,put,10:punct:---;11:aux:do;12:advmod:not;13:aux:pass:be;15:compound:prt:off;20:obl:agent:review,peripheral,prepositional,be,yes,other-overt-agentive,oblique-stranding-promotion,eventive,finite-clause,patient-theme-like,Negated imperative with particle-stranding passive and overt agent; prepositional passive.,10
