pilot_item_id,sentence_marked,sentence,head_form,head_children,participial_form,licensing_marker,constructional_environment,local_subject_present,by_pp_present,stranded_preposition,event_implied,agent_implied,predicand_as_undergoer,peripheral_subtype,family_status,notes,pilot_order
BP008,Twenty people [[died]].,Twenty people died.,died,2:nsubj:people;1:nummod:Twenty,none,absent_other,clausal_predication,yes,no,no,,,,comparison_construction,foil,,1
BP012,She was dead on -- this restaurant was wonderful --- do not be [[put]] off by the one negative review on this page .,She was dead on-- this restaurant was wonderful--- do not be put off by the one negative review on this page.,put,10:punct:---;11:aux:do;12:advmod:not;13:aux:pass:be;15:compound:prt:off;20:obl:agent:review,past_participle,,,,yes,,,,,,,,2
BP010,They may not respond right away and they may fight so ther smaller one can fit in one of hide spaces if it gets [[attacked]] .,They may not respond right away and they may fight so ther smaller one can fit in one of hide spaces if it gets attacked.,attacked,22:mark:if;23:nsubj:pass:it;24:aux:pass:gets,past_participle,passive_get,clausal_predication,yes,no,no,,,,,,,3
BP004,The house needs [[painting]].,The house needs painting.,painting,2:nsubj:house;3:root:needs,gerund_participial,absent_other,clausal_predication,yes,no,no,,,,comparison_construction,foil,,4
BP002,The butter [[spreads]] easily.,The butter spreads easily.,spreads,2:nsubj:butter;4:advmod:easily,none,absent_other,clausal_predication,yes,no,no,,,,comparison_construction,foil,,5
BP005,This book is [[easy]] to read.,This book is easy to read.,easy,2:nsubj:book;6:xcomp:read,none,absent_other,clausal_predication,yes,no,no,,,,comparison_construction,foil,,6
BP011,"50 - Percentage of [[screened]] workers at Ground Zero who now suffer from long - term health problems , almost half of whom do n't have health insurance .","50- Percentage of screened workers at Ground Zero who now suffer from long-term health problems, almost half of whom don't have health insurance.",screened,_,past_participle,modifier_position,reduced_modifier,no,no,no,,,,,,,7
BP016,"In the core of the city , [[named]] avenues run north / south and are named after US cities , generally in repeating alphabetical order ( for example , Winston - Yale - Allegheny - Braden ) .","In the core of the city, named avenues run north / south and are named after US cities, generally in repeating alphabetical order (for example, Winston - Yale - Allegheny - Braden).",named,_,past_participle,modifier_position,reduced_modifier,no,no,no,,,,,,,8
BP013,Lighting plays a large part on the consumption of household electrical energy ; it consumes about 18 % of the total generated electricity of total energy consumption in residential sectors as [[shown]] in figure 2 [ 2 ] .,Lighting plays a large part on the consumption of household electrical energy; it consumes about 18% of the total generated electricity of total energy consumption in residential sectors as shown in figure 2 [2].,shown,31:mark:as;34:obl:figure,past_participle,subordinator_or_adjunct,adjunct_participial_clause,no,no,no,,,,,,,9
BP001,He got [[drunk]].,He got drunk.,drunk,2:nsubj:he;2:root:got,none,absent_other,clausal_predication,yes,no,no,,,,comparison_construction,foil,,10
BP015,"And for pretty much all of them , the shedload of information that gets [[inhaled]] was n't owned by the people who did the inhaling .","And for pretty much all of them, the shedload of information that gets inhaled wasn't owned by the people who did the inhaling.",inhaled,13:nsubj:pass:that;14:aux:pass:gets,past_participle,passive_get,clausal_predication,yes,no,no,,,,,,,11
BP007,The door [[opened]].,The door opened.,opened,2:nsubj:door,none,absent_other,clausal_predication,yes,no,no,,,,comparison_construction,foil,,12
BP003,This shirt [[washes]] well.,This shirt washes well.,washes,2:nsubj:shirt;4:advmod:well,none,absent_other,clausal_predication,yes,no,no,,,,comparison_construction,foil,,13
BP009,They do nt want to be [[held]] or touched .,They dont want to be held or touched.,held,5:mark:to;6:aux:pass:be;9:conj:touched,past_participle,,,,no,,,,,,,,14
BP006,That report is [[hard]] to understand.,That report is hard to understand.,hard,2:nsubj:report;6:xcomp:understand,none,absent_other,clausal_predication,yes,no,no,,,,comparison_construction,foil,,15
BP014,"it resembles Joseph Louis Lagrange 's Mécanique Analytique in being [[arranged]] so that all the results are consequences of a single principle , namely , conservation of energy .","it resembles Joseph Louis Lagrange's Mécanique Analytique in being arranged so that all the results are consequences of a single principle, namely, conservation of energy.",arranged,9:mark:in;10:aux:pass:being;18:advcl:consequences,past_participle,,,,no,,,,,,,,16
