candidate_id,corpus,split,source_file,sent_id,head_id,head_form,head_lemma,upos,xpos,head_deprel,feats,has_voice_pass,has_nsubj_pass,has_obl_agent,aux_pass_lemmas,aux_lemmas,cop_lemmas,participle_like,parent_id,parent_form,parent_deprel,head_children,provisional_streams,sentence,sentence_marked,sampling_stream,sample_set,sample_rank,pilot_pack,pilot_corpus,pilot_class,pilot_stream,pilot_item_id,pilot_order_first,pilot_order_second
ewt|dev|email-enronsent28_02-0019|6,ewt,dev,en_ewt-ud-dev.conllu,email-enronsent28_02-0019,6,based,base,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,2:nsubj:pass:information;5:aux:pass:is;8:obl:sources;20:conj:represent;27:punct:.,core_be;passive_ledger,"The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete.","The information contained herein is [[based]] on sources that we believe to be reliable , but we do not represent that it is accurate or complete .",core_be,analytic_core_candidate,26,fit_gate,ewt,core,core_be,FG001,67,92
ewt|dev|email-enronsent30_02-0006|50,ewt,dev,en_ewt-ud-dev.conllu,email-enronsent30_02-0006,50,hurt,hurt,VERB,VBN,ccomp,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,have,_,1,44,appear,conj,45:mark:that;46:nsubj:pass:you;47:aux:have;48:aux:pass:been;49:advmod:extremely;53:obl:past,core_be;passive_ledger,You wear your heart on your sleeve ... and since you are an emotional person you are apt to give your all ... heart and soul ... to all those that show you a little affection ... but take care... it would appear that you have been extremely hurt in the past...and you keep leaving yourself wide open for punishment..,You wear your heart on your sleeve ... and since you are an emotional person you are apt to give your all ... heart and soul ... to all those that show you a little affection ... but take care ... it would appear that you have been extremely [[hurt]] in the past ... and you keep leaving yourself wide open for punishment ..,core_be,analytic_core_candidate,56,fit_gate,ewt,core,core_be,FG002,30,96
ewt|test|email-enronsent04_01-0008|7,ewt,test,en_ewt-ud-test.conllu,email-enronsent04_01-0008,7,contained,contain,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,may,_,1,_,_,_,4:nsubj:pass:Information;5:aux:may;6:aux:pass:be;10:obl:message;11:punct:.,core_be;passive_ledger,Privileged/Confidential Information may be contained in this message.,Privileged / Confidential Information may be [[contained]] in this message .,core_be,analytic_core_candidate,58,fit_gate,ewt,core,core_be,FG003,69,12
ewt|test|newsgroup-groups.google.com_HistoricalLinguistics_f65a1220aacc96f3_ENG_20050517_153400-0002|20,ewt,test,en_ewt-ud-test.conllu,newsgroup-groups.google.com_HistoricalLinguistics_f65a1220aacc96f3_ENG_20050517_153400-0002,20,put,put,VERB,VBN,advcl,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,6,best,root,14:mark:if;15:advmod:only;18:nsubj:pass:hindrances;19:aux:pass:are;23:obl:way,core_be;passive_ledger,"'Everything is for the best in the best of all possible worlds if only no artificial hindrances are put in the way of free exchange, for demand and supply will regulate everything better than any Government would be able to.'","' Everything is for the best in the best of all possible worlds if only no artificial hindrances are [[put]] in the way of free exchange , for demand and supply will regulate everything better than any Government would be able to . '",core_be,analytic_core_candidate,21,fit_gate,ewt,core,core_be,FG004,43,55
ewt|test|reviews-085009-0003|4,ewt,test,en_ewt-ud-test.conllu,reviews-085009-0003,4,completed,complete,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,2:nsubj:pass:work;3:aux:pass:was;7:obl:week;12:conj:cleaned;16:punct:.,core_be;passive_ledger,"The work was completed within one week, and everything was cleaned up on completion.","The work was [[completed]] within one week , and everything was cleaned up on completion .",core_be,analytic_core_candidate,41,fit_gate,ewt,core,core_be,FG005,74,63
ewt|test|weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010-0002|6,ewt,test,en_ewt-ud-test.conllu,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010-0002,6,put,put,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,1:nsubj:John;5:aux:has;7:compound:prt:out;11:obj:show;22:punct:.,foil_perfect,John Donovan from Argghhh! has put out a excellent slide show on what was actually found and fought for in Fallujah.,John Donovan from Argghhh! has [[put]] out a excellent slide show on what was actually found and fought for in Fallujah .,foil_perfect,analytic_foil_candidate,24,fit_gate,ewt,foil,foil_perfect,FG006,79,97
ewt|test|weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0007|9,ewt,test,en_ewt-ud-test.conllu,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0007,9,known,know,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have;should,be,1,_,_,_,"2:nsubj:outer:question;3:cop:is;5:punct:"";6:aux:Should;7:nsubj:he;8:aux:have;12:ccomp:coming;13:punct:?;14:punct:""",foil_copular_participle;foil_perfect,"The question is, ""Should he have known it was coming?""","The question is , "" Should he have [[known]] it was coming ? """,foil_copular_participle,analytic_foil_candidate,29,fit_gate,ewt,foil,foil_copular_participle,FG007,47,5
ewt|train|answers-20111106144630AAadR8l_ans-0009|9,ewt,train,en_ewt-ud-train.conllu,answers-20111106144630AAadR8l_ans-0009,9,told,tell,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,1:advmod:Than;3:nsubj:pass:troops;8:aux:pass:were;14:ccomp:cleaning;20:punct:.,core_be;passive_ledger,"Than the troops being issued the weapon were told it was self-cleaning, which it wasn't.","Than the troops being issued the weapon were [[told]] it was self - cleaning , which it was n't .",core_be,analytic_core_candidate,31,fit_gate,ewt,core,core_be,FG008,97,87
ewt|train|answers-20111108075853AAUIKRQ_ans-0008|8,ewt,train,en_ewt-ud-train.conllu,answers-20111108075853AAUIKRQ_ans-0008,8,appreciated,appreciate,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,would,_,1,_,_,_,2:nsubj:pass:answers;5:aux:wud;6:aux:pass:be;7:advmod:highly;10:discourse:thanks,core_be;passive_ledger,ur answers and reviews wud be highly appreciated.......thanks!!!!!!!,ur answers and reviews wud be highly [[appreciated]] ....... thanks !!!!!!!,core_be,analytic_core_candidate,7,fit_gate,ewt,core,core_be,FG009,93,60
ewt|train|answers-20111108091921AAaLK4e_ans-0054|3,ewt,train,en_ewt-ud-train.conllu,answers-20111108091921AAaLK4e_ans-0054,3,seen,see,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,1:nsubj:I;2:aux:have;5:ccomp:Loose;30:parataxis:wondering;32:punct:...,foil_perfect,I have seen horses Loose Nails On there Own And do just fine with ONE nail gone Now if he had left out 2 or 3 I would be wondering to...,I have [[seen]] horses Loose Nails On there Own And do just fine with ONE nail gone Now if he had left out 2 or 3 I would be wondering to ...,foil_perfect,analytic_foil_candidate,36,fit_gate,ewt,foil,foil_perfect,FG010,80,35
